category	entry_id	openalex_id	doi	publication_year	authors
topics	https://openalex.org/T11937	https://openalex.org/W2944434778	https://doi.org/10.1016/j.jbi.2019.103208	2019	Paul A. Harris, Robert J. Taylor, Brenda L. Minor, Veida Elliott, Michelle Fernández, Lindsay O’Neal, Laura McLeod, Giovanni Delacqua, Francesco Delacqua, Jacqueline Kirby, Stephany N. Duda
topics	https://openalex.org/T11937	https://openalex.org/W2990427812	https://doi.org/10.21105/joss.01686	2019	Hadley Wickham, Mara Averick, Jennifer Bryan, Winston Chang, Lucy D’Agostino McGowan, Romain François, Garrett Grolemund, Alex Hayes, L. Banziiaf Henry, Jim Hester, Max Kühn, Thomas Lin Pedersen, Evan Miller, Stephan Bache, Kirill Müller, Jeroen Ooms, David M. Robinson, Dana P. Seidel, Vitalie Spinu, Kohske Takahashi, Davis Vaughan, Claus O. Wilke, Kara Woo, Hiroaki Yutani
topics	https://openalex.org/T11937	https://openalex.org/W2302501749	https://doi.org/10.1038/sdata.2016.18	2016	Mark D. Wilkinson, Michel Dumontier, IJsbrand Jan Aalbersberg, Gabrielle Appleton, Myles Axton, Arie Baak, Niklas Blomberg, Jan‐Willem Boiten, Luiz Olavo Bonino da Silva Santos, Philip E. Bourne, Jildau Bouwman, Anthony J. Brookes, Tim W. Clark, Mercè Crosas, Ingrid Dillo, Olivier Dumon, Scott Edmunds, Chris T. Evelo, Richard Finkers, Alejandra González-Beltrán, Alasdair J. G. Gray, Paul Groth, Carole Goble, Jeffrey S. Grethe, Jaap Heringa, Peter A.C. ‘t Hoen, Rob Hooft, Tobias Kuhn, Ruben Kok, Joost N. Kok, Scott J. Lusher, Maryann E. Martone, Albert Mons, Abel L. Packer, Bengt Persson, Philippe Rocca‐Serra, Marco Roos, René van Schaik, Susanna‐Assunta Sansone, Erik Schultes, Thierry Sengstag, Ted Slater, George Strawn, Morris A. Swertz, Mark Thompson, Johan van der Lei, Erik M. van Mulligen, Jan Velterop, Andra Waagmeester, Peter Wittenburg, Katherine Wolstencroft, Jun Zhao, Barend Mons
topics	https://openalex.org/T11937	https://openalex.org/W2077208327	https://doi.org/10.1002/2013eo450001	2013	Paul Wessel, Walter H. F. Smith, Remko Scharroo, Joaquim Luís, Florian Wobbe
topics	https://openalex.org/T11937	https://openalex.org/W2136482257	https://doi.org/10.1186/gb-2010-11-8-r86	2010	Jeremy Goecks, Anton Nekrutenko, James Taylor
topics	https://openalex.org/T11937	https://openalex.org/W2043701535	https://doi.org/10.1109/mcse.2014.80	2014	John Towns, T.M. Cockerill, Maytal Dahan, Ian Foster, Kelly Gaither, Andrew S. Grimshaw, Victor Hazlewood, Scott Lathrop, Dave Lifka, Gregory D. Peterson, Ralph Roskies, James R. Scott, Nancy Wilkins‐Diehr
topics	https://openalex.org/T11937	https://openalex.org/W2088209891	https://doi.org/10.1126/science.149.3683.510	1965	Derek J. de Solla Price
topics	https://openalex.org/T11937	https://openalex.org/W2053549370	https://doi.org/10.1126/science.178.4060.471	1972	Eugene Garfield
topics	https://openalex.org/T11937	https://openalex.org/W2605897695	https://doi.org/10.1038/nbt.3820	2017	Paolo Di Tommaso, Maria Chatzou, Evan Floden, Pablo Prieto, Emilio Palumbo, Cédric Notredame
topics	https://openalex.org/T11937	https://openalex.org/W2140283616	https://doi.org/10.1136/bmj.314.7079.497	1997	Per O. Seglen
