category	entry_id	openalex_id	doi	publication_year	authors
topics	https://openalex.org/T10521	https://openalex.org/W2055043387	https://doi.org/10.1016/s0022-2836(05)80360-2	1990	Stephen F. Altschul, Warren Gish, Webb Miller, Eugene W. Myers, David J. Lipman
topics	https://openalex.org/T10521	https://openalex.org/W2158714788	https://doi.org/10.1093/nar/25.17.3389	1997	Stephen F. Altschul
topics	https://openalex.org/T10521	https://openalex.org/W2138270253	https://doi.org/10.1073/pnas.74.12.5463	1977	Frederick Sanger, S. Nicklen, Alan Coulson
topics	https://openalex.org/T10521	https://openalex.org/W2106882534	https://doi.org/10.1093/nar/22.22.4673	1994	Julie Thompson, Desmond G. Higgins, Toby J. Gibson
topics	https://openalex.org/T10521	https://openalex.org/W2101108802	https://doi.org/10.1073/pnas.76.9.4350	1979	Harry Towbin, T. Staehelin, J. Gordon
topics	https://openalex.org/T10521	https://openalex.org/W2170551349	https://doi.org/10.1038/nmeth.1923	2012	Ben Langmead, Steven L. Salzberg
topics	https://openalex.org/T10521	https://openalex.org/W2132926880	https://doi.org/10.1093/nar/gkh340	2004	R. C. Edgar
topics	https://openalex.org/T10521	https://openalex.org/W2169456326	https://doi.org/10.1093/bioinformatics/bts635	2012	Alexander Dobin, Carrie Davis, Felix Schlesinger, Jörg Drenkow, Chris Zaleski, Sonali Jha, Philippe Batut, Mark Chaisson, T Gingeras
topics	https://openalex.org/T10521	https://openalex.org/W2160378127	https://doi.org/10.1093/molbev/mst010	2013	Kazutaka Katoh, Daron M. Standley
topics	https://openalex.org/T10521	https://openalex.org/W2751862591	https://doi.org/10.1016/0016-0032(58)90688-4	1958	
topics	https://openalex.org/T10521	https://openalex.org/W2065461553	https://doi.org/10.1007/bf01731581	1980	Motoo Kimura
topics	https://openalex.org/T10521	https://openalex.org/W2036897871	https://doi.org/10.14806/ej.17.1.200	2011	Marcel Martin
