category	entry_id	openalex_id	doi	publication_year	authors
subfields	https://openalex.org/subfields/1110	https://openalex.org/W2024556021	https://doi.org/10.1111/j.1399-3054.1962.tb08052.x	1962	Toshio Murashige, Folke Skoog
subfields	https://openalex.org/subfields/1110	https://openalex.org/W2108234281	https://doi.org/10.1093/bioinformatics/btp352	2009	Heng Li, Robert E. Handsaker, Alec Wysoker, Tim Fennell, Jue Ruan, Nils Homer, Gábor Marth, Gonçalo R. Abecasis, Richard Durbin
subfields	https://openalex.org/subfields/1110	https://openalex.org/W2103441770	https://doi.org/10.1093/bioinformatics/btp324	2009	Heng Li, Richard Durbin
subfields	https://openalex.org/subfields/1110	https://openalex.org/W2125121305	https://doi.org/10.1093/molbev/msm092	2007	Koichiro Tamura, Joel T. Dudley, M Nei, Sudhir Kumar
subfields	https://openalex.org/subfields/1110	https://openalex.org/W2607031541	https://doi.org/10.1159/000468530	2017	Ömer Toprak, Hüseyin Kurt, Yasin Sarı, Cihat Şarkış, Halil Us, Ali Kırık
subfields	https://openalex.org/subfields/1110	https://openalex.org/W1594031697	https://doi.org/10.2307/2530946	1984	Alexander Gordon, Leo Breiman, Jerome H. Friedman, Richard A. Olshen, C. J. Stone
subfields	https://openalex.org/subfields/1110	https://openalex.org/W2102619694	https://doi.org/10.1093/bioinformatics/btq033	2010	Aaron R. Quinlan, Ira M. Hall
subfields	https://openalex.org/subfields/1110	https://openalex.org/W1542649433	https://doi.org/10.1016/b978-0-12-473542-2.x5000-7	1995	Horst Marschner
subfields	https://openalex.org/subfields/1110	https://openalex.org/W2116122104	https://doi.org/10.1046/j.1365-313x.1998.00343.x	1998	Steven J. Clough, Andrew F. Bent
subfields	https://openalex.org/subfields/1110	https://openalex.org/W2111647009	https://doi.org/10.1093/molbev/msu300	2014	Lam-Tung Nguyen, Heiko A. Schmidt, Arndt von Haeseler, Bùi Quang Minh
subfields	https://openalex.org/subfields/1110	https://openalex.org/W2010094123	https://doi.org/10.1016/0306-3623(91)90478-o	1991	Barry Halliwell, John M.C. Gutteridge
subfields	https://openalex.org/subfields/1110	https://openalex.org/W3199943451		1989	Joe Felsenstein
subfields	https://openalex.org/subfields/1110	https://openalex.org/W2028823348	https://doi.org/10.1007/bf00018060	1973	L. S. Bates, R. P. Waldren, I. D. Teare
subfields	https://openalex.org/subfields/1110	https://openalex.org/W2319410825	https://doi.org/10.2307/2287932	1985	D. F. Cox, K. A. Gomez, Arthur A. Gomez
subfields	https://openalex.org/subfields/1110	https://openalex.org/W2103546861	https://doi.org/10.1080/10635150390235520	2003	Stéphane Guindon, Olivier Gascuel
subfields	https://openalex.org/subfields/1110	https://openalex.org/W2004444667	https://doi.org/10.1111/j.1471-8286.2005.01155.x	2005	Rod Peakall, Peter E. Smouse
