category	entry_id	openalex_id	doi	publication_year	authors
fields	https://openalex.org/fields/11	https://openalex.org/W2128635872	https://doi.org/10.1006/abio.1976.9999	1976	Mark A. Bradford
fields	https://openalex.org/fields/11	https://openalex.org/W4293247451	https://doi.org/10.1016/0003-2697(76)90527-3	1976	Marion M. Bradford
fields	https://openalex.org/fields/11	https://openalex.org/W2024556021	https://doi.org/10.1111/j.1399-3054.1962.tb08052.x	1962	Toshio Murashige, Folke Skoog
fields	https://openalex.org/fields/11	https://openalex.org/W2108234281	https://doi.org/10.1093/bioinformatics/btp352	2009	Heng Li, Robert E. Handsaker, Alec Wysoker, Tim Fennell, Jue Ruan, Nils Homer, Gábor Marth, Gonçalo R. Abecasis, Richard Durbin
fields	https://openalex.org/fields/11	https://openalex.org/W2103441770	https://doi.org/10.1093/bioinformatics/btp324	2009	Heng Li, Richard Durbin
fields	https://openalex.org/fields/11	https://openalex.org/W2037557484	https://doi.org/10.1037/0033-2909.112.1.155	1992	Jacob Cohen
fields	https://openalex.org/fields/11	https://openalex.org/W1483247593	https://doi.org/10.14601/phytopathol_mediterr-14998u1.29	1999	T. A. Hall
fields	https://openalex.org/fields/11	https://openalex.org/W2125121305	https://doi.org/10.1093/molbev/msm092	2007	Koichiro Tamura, Joel T. Dudley, M Nei, Sudhir Kumar
fields	https://openalex.org/fields/11	https://openalex.org/W2607031541	https://doi.org/10.1159/000468530	2017	Ömer Toprak, Hüseyin Kurt, Yasin Sarı, Cihat Şarkış, Halil Us, Ali Kırık
fields	https://openalex.org/fields/11	https://openalex.org/W1983310681	https://doi.org/10.1016/0003-2697(79)90738-3	1979	Hiroshi Ohkawa, Nobuko Ohishi, Kunio Yagi
fields	https://openalex.org/fields/11	https://openalex.org/W1594031697	https://doi.org/10.2307/2530946	1984	Alexander Gordon, Leo Breiman, Jerome H. Friedman, Richard A. Olshen, C. J. Stone
fields	https://openalex.org/fields/11	https://openalex.org/W2072500831	https://doi.org/10.3758/brm.41.4.1149	2009	Franz Faul, Edgar Erdfelder, Axel Buchner, Albert-Georg Lang
fields	https://openalex.org/fields/11	https://openalex.org/W1513717105	https://doi.org/10.1016/0307-4412(83)90068-7	1983	EJ Wood
fields	https://openalex.org/fields/11	https://openalex.org/W1491644571		1980	Icek Ajzen, Martin Fishbein
fields	https://openalex.org/fields/11	https://openalex.org/W1997087247	https://doi.org/10.3168/jds.s0022-0302(91)78551-2	1991	P.J. Van Soest, James B. Robertson, B.A. Lewis
fields	https://openalex.org/fields/11	https://openalex.org/W2102619694	https://doi.org/10.1093/bioinformatics/btq033	2010	Aaron R. Quinlan, Ira M. Hall
fields	https://openalex.org/fields/11	https://openalex.org/W2401404581	https://doi.org/10.1038/nmeth.3869	2016	Benjamin J. Callahan, Paul J. McMurdie, Michael Rosen, Andrew Han, Amy Jo A Johnson, Susan Holmes
