category	entry_id	openalex_id	doi	publication_year	authors
fields	https://openalex.org/fields/25	https://openalex.org/W3206606417	https://doi.org/10.1103/physrevb.46.6671	1992	John P. Perdew, J. A. Chevary, S. H. Vosko, Koblar Alan Jackson, Mark R. Pederson, David J. Singh, Carlos Fiolhais
fields	https://openalex.org/fields/25	https://openalex.org/W2059020082	https://doi.org/10.1107/s0021889897003117	1997	Louis J. Farrugia
fields	https://openalex.org/fields/25	https://openalex.org/W2052637367	https://doi.org/10.1103/physrevb.23.5048	1981	John P. Perdew, Alex Zunger
fields	https://openalex.org/fields/25	https://openalex.org/W2038533471	https://doi.org/10.1139/p80-159	1980	S. H. Vosko, L. Wilk, Marwan Nusair
fields	https://openalex.org/fields/25	https://openalex.org/W2057327293	https://doi.org/10.1021/ja809598r	2009	Akihiro Kojima, Kenjiro Teshima, Yasuo Shirai, Tsutomu Miyasaka
fields	https://openalex.org/fields/25	https://openalex.org/W2087698390	https://doi.org/10.1103/physrevb.49.14251	1994	Georg Kresse, J. Häfner
fields	https://openalex.org/fields/25	https://openalex.org/W2163341755	https://doi.org/10.1107/s0021889807021206	2007	Airlie J. McCoy, Ralf W. Grosse‐Kunstleve, Paul D. Adams, Martyn Winn, Laurent C. Storoni, Randy J. Read
fields	https://openalex.org/fields/25	https://openalex.org/W2028056984	https://doi.org/10.1107/s0021889811038970	2011	Koichi Momma, Fujio Izumi
fields	https://openalex.org/fields/25	https://openalex.org/W2010971702	https://doi.org/10.1126/science.1157996	2008	Changgu Lee, Xiaoding Wei, Jeffrey W. Kysar, James Hone
fields	https://openalex.org/fields/25	https://openalex.org/W2063334178	https://doi.org/10.1107/s0021889899006020	1999	Louis J. Farrugia
fields	https://openalex.org/fields/25	https://openalex.org/W2083926174	https://doi.org/10.1103/physrevb.6.4370	1972	P. B. Johnson, R. W. Christy
fields	https://openalex.org/fields/25	https://openalex.org/W1031578623	https://doi.org/10.1016/j.softx.2015.06.001	2015	M Abraham, Teemu J. Murtola, Roland Schulz, Szilárd Páll, Jeremy C. Smith, Berk Hess, Erik Lindahl
fields	https://openalex.org/fields/25	https://openalex.org/W2102074887	https://doi.org/10.1103/revmodphys.82.3045	2010	M. Zahid Hasan, C. L. Kane
fields	https://openalex.org/fields/25	https://openalex.org/W2001641653	https://doi.org/10.1107/s0907444994003112	1994	Number Collaborative Computational Project
fields	https://openalex.org/fields/25	https://openalex.org/W1998866028	https://doi.org/10.1103/physrevb.48.4978.2	1993	John P. Perdew, J. A. Chevary, S. H. Vosko, Koblar Alan Jackson, Mark R. Pederson, Diksha Singh, Carlos Fiolhais
fields	https://openalex.org/fields/25	https://openalex.org/W1974085346		1956	B. D. Cullity
